date,rainc,rainnc,code,name,local_date
2018-09-01 00:00:00,0.0,0.0,284,Pico do Jaraguá,2018-08-31 21:00:00-03:00
2018-09-01 01:00:00,0.0,0.0,284,Pico do Jaraguá,2018-08-31 22:00:00-03:00
2018-09-01 02:00:00,0.0,0.0,284,Pico do Jaraguá,2018-08-31 23:00:00-03:00
2018-09-01 03:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 00:00:00-03:00
2018-09-01 04:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 01:00:00-03:00
2018-09-01 05:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 02:00:00-03:00
2018-09-01 06:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 03:00:00-03:00
2018-09-01 07:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 04:00:00-03:00
2018-09-01 08:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 05:00:00-03:00
2018-09-01 09:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 06:00:00-03:00
2018-09-01 10:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 07:00:00-03:00
2018-09-01 11:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 08:00:00-03:00
2018-09-01 12:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 09:00:00-03:00
2018-09-01 13:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 10:00:00-03:00
2018-09-01 14:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 11:00:00-03:00
2018-09-01 15:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 12:00:00-03:00
2018-09-01 16:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 13:00:00-03:00
2018-09-01 17:00:00,0.0,0.0,284,Pico do Jaraguá,2018-09-01 14:00:00-03:00
2018-09-01 18:00:00,0.16722389,0.00037890952,284,Pico do Jaraguá,2018-09-01 15:00:00-03:00
2018-09-01 19:00:00,0.23803237,0.0006608842,284,Pico do Jaraguá,2018-09-01 16:00:00-03:00
2018-09-01 20:00:00,0.28105372,0.0006608842,284,Pico do Jaraguá,2018-09-01 17:00:00-03:00
2018-09-01 21:00:00,0.70253015,0.0006608842,284,Pico do Jaraguá,2018-09-01 18:00:00-03:00
2018-09-01 22:00:00,0.7109046,0.0012258575,284,Pico do Jaraguá,2018-09-01 19:00:00-03:00
2018-09-01 23:00:00,0.7427714,0.0012258575,284,Pico do Jaraguá,2018-09-01 20:00:00-03:00
2018-09-02 00:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-01 21:00:00-03:00
2018-09-02 01:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-01 22:00:00-03:00
2018-09-02 02:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-01 23:00:00-03:00
2018-09-02 03:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 00:00:00-03:00
2018-09-02 04:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 01:00:00-03:00
2018-09-02 05:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 02:00:00-03:00
2018-09-02 06:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 03:00:00-03:00
2018-09-02 07:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 04:00:00-03:00
2018-09-02 08:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 05:00:00-03:00
2018-09-02 09:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 06:00:00-03:00
2018-09-02 10:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 07:00:00-03:00
2018-09-02 11:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 08:00:00-03:00
2018-09-02 12:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 09:00:00-03:00
2018-09-02 13:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 10:00:00-03:00
2018-09-02 14:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 11:00:00-03:00
2018-09-02 15:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 12:00:00-03:00
2018-09-02 16:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 13:00:00-03:00
2018-09-02 17:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 14:00:00-03:00
2018-09-02 18:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 15:00:00-03:00
2018-09-02 19:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 16:00:00-03:00
2018-09-02 20:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 17:00:00-03:00
2018-09-02 21:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 18:00:00-03:00
2018-09-02 22:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 19:00:00-03:00
2018-09-02 23:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 20:00:00-03:00
2018-09-03 00:00:00,0.78497857,0.0012258575,284,Pico do Jaraguá,2018-09-02 21:00:00-03:00
2018-09-03 01:00:00,0.78977764,0.0012258575,284,Pico do Jaraguá,2018-09-02 22:00:00-03:00
2018-09-03 02:00:00,0.79154104,0.0012258575,284,Pico do Jaraguá,2018-09-02 23:00:00-03:00
2018-09-03 03:00:00,0.79154104,0.0012258575,284,Pico do Jaraguá,2018-09-03 00:00:00-03:00
2018-09-03 04:00:00,0.79154104,0.0012258575,284,Pico do Jaraguá,2018-09-03 01:00:00-03:00
2018-09-03 05:00:00,0.79154104,0.0012258575,284,Pico do Jaraguá,2018-09-03 02:00:00-03:00
2018-09-03 06:00:00,0.9140479,0.0012258575,284,Pico do Jaraguá,2018-09-03 03:00:00-03:00
2018-09-03 07:00:00,0.9140479,0.0012258575,284,Pico do Jaraguá,2018-09-03 04:00:00-03:00
2018-09-03 08:00:00,0.9140479,0.0012258575,284,Pico do Jaraguá,2018-09-03 05:00:00-03:00
2018-09-03 09:00:00,1.0483353,0.0053701065,284,Pico do Jaraguá,2018-09-03 06:00:00-03:00
2018-09-03 10:00:00,1.5137722,0.15194462,284,Pico do Jaraguá,2018-09-03 07:00:00-03:00
2018-09-03 11:00:00,1.9597956,0.42936075,284,Pico do Jaraguá,2018-09-03 08:00:00-03:00
2018-09-03 12:00:00,2.3941514,0.59862584,284,Pico do Jaraguá,2018-09-03 09:00:00-03:00
2018-09-03 13:00:00,3.3481562,0.6245273,284,Pico do Jaraguá,2018-09-03 10:00:00-03:00
2018-09-03 14:00:00,4.3611884,1.1046203,284,Pico do Jaraguá,2018-09-03 11:00:00-03:00
2018-09-03 15:00:00,5.6303577,1.1664051,284,Pico do Jaraguá,2018-09-03 12:00:00-03:00
2018-09-03 16:00:00,7.358679,1.1931876,284,Pico do Jaraguá,2018-09-03 13:00:00-03:00
2018-09-03 17:00:00,9.381213,1.1944171,284,Pico do Jaraguá,2018-09-03 14:00:00-03:00
2018-09-03 18:00:00,10.81517,1.4308095,284,Pico do Jaraguá,2018-09-03 15:00:00-03:00
2018-09-03 19:00:00,11.396742,1.4513105,284,Pico do Jaraguá,2018-09-03 16:00:00-03:00
2018-09-03 20:00:00,11.496809,1.5856998,284,Pico do Jaraguá,2018-09-03 17:00:00-03:00
2018-09-03 21:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 18:00:00-03:00
2018-09-03 22:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 19:00:00-03:00
2018-09-03 23:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 20:00:00-03:00
2018-09-04 00:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 21:00:00-03:00
2018-09-04 01:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 22:00:00-03:00
2018-09-04 02:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-03 23:00:00-03:00
2018-09-04 03:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-04 00:00:00-03:00
2018-09-04 04:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-04 01:00:00-03:00
2018-09-04 05:00:00,11.497407,1.5857347,284,Pico do Jaraguá,2018-09-04 02:00:00-03:00
