date,rainc,rainnc,code,name,local_date
2018-09-01 00:00:00,0.0,0.0,118,Guarulhos,2018-08-31 21:00:00-03:00
2018-09-01 01:00:00,0.0,0.0,118,Guarulhos,2018-08-31 22:00:00-03:00
2018-09-01 02:00:00,0.0,0.0,118,Guarulhos,2018-08-31 23:00:00-03:00
2018-09-01 03:00:00,0.0,0.0,118,Guarulhos,2018-09-01 00:00:00-03:00
2018-09-01 04:00:00,0.0,0.0,118,Guarulhos,2018-09-01 01:00:00-03:00
2018-09-01 05:00:00,0.0,0.0,118,Guarulhos,2018-09-01 02:00:00-03:00
2018-09-01 06:00:00,0.0,0.0,118,Guarulhos,2018-09-01 03:00:00-03:00
2018-09-01 07:00:00,0.0,0.0,118,Guarulhos,2018-09-01 04:00:00-03:00
2018-09-01 08:00:00,0.0,0.0,118,Guarulhos,2018-09-01 05:00:00-03:00
2018-09-01 09:00:00,0.0,0.0,118,Guarulhos,2018-09-01 06:00:00-03:00
2018-09-01 10:00:00,0.0,0.0,118,Guarulhos,2018-09-01 07:00:00-03:00
2018-09-01 11:00:00,0.0,0.0,118,Guarulhos,2018-09-01 08:00:00-03:00
2018-09-01 12:00:00,0.0,0.0,118,Guarulhos,2018-09-01 09:00:00-03:00
2018-09-01 13:00:00,0.0,0.0,118,Guarulhos,2018-09-01 10:00:00-03:00
2018-09-01 14:00:00,0.0,0.0,118,Guarulhos,2018-09-01 11:00:00-03:00
2018-09-01 15:00:00,0.0,0.0,118,Guarulhos,2018-09-01 12:00:00-03:00
2018-09-01 16:00:00,0.0,0.0,118,Guarulhos,2018-09-01 13:00:00-03:00
2018-09-01 17:00:00,0.0,0.0013706379,118,Guarulhos,2018-09-01 14:00:00-03:00
2018-09-01 18:00:00,0.00022385328,0.0020652432,118,Guarulhos,2018-09-01 15:00:00-03:00
2018-09-01 19:00:00,0.08796177,0.0020652432,118,Guarulhos,2018-09-01 16:00:00-03:00
2018-09-01 20:00:00,0.12090395,0.0020652432,118,Guarulhos,2018-09-01 17:00:00-03:00
2018-09-01 21:00:00,0.42951837,0.0020652432,118,Guarulhos,2018-09-01 18:00:00-03:00
2018-09-01 22:00:00,0.42951837,0.0020652432,118,Guarulhos,2018-09-01 19:00:00-03:00
2018-09-01 23:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-01 20:00:00-03:00
2018-09-02 00:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-01 21:00:00-03:00
2018-09-02 01:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-01 22:00:00-03:00
2018-09-02 02:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-01 23:00:00-03:00
2018-09-02 03:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 00:00:00-03:00
2018-09-02 04:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 01:00:00-03:00
2018-09-02 05:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 02:00:00-03:00
2018-09-02 06:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 03:00:00-03:00
2018-09-02 07:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 04:00:00-03:00
2018-09-02 08:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 05:00:00-03:00
2018-09-02 09:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 06:00:00-03:00
2018-09-02 10:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 07:00:00-03:00
2018-09-02 11:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 08:00:00-03:00
2018-09-02 12:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 09:00:00-03:00
2018-09-02 13:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 10:00:00-03:00
2018-09-02 14:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 11:00:00-03:00
2018-09-02 15:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 12:00:00-03:00
2018-09-02 16:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 13:00:00-03:00
2018-09-02 17:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 14:00:00-03:00
2018-09-02 18:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 15:00:00-03:00
2018-09-02 19:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 16:00:00-03:00
2018-09-02 20:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 17:00:00-03:00
2018-09-02 21:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 18:00:00-03:00
2018-09-02 22:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 19:00:00-03:00
2018-09-02 23:00:00,0.42951837,0.0026683642,118,Guarulhos,2018-09-02 20:00:00-03:00
2018-09-03 00:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-02 21:00:00-03:00
2018-09-03 01:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-02 22:00:00-03:00
2018-09-03 02:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-02 23:00:00-03:00
2018-09-03 03:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 00:00:00-03:00
2018-09-03 04:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 01:00:00-03:00
2018-09-03 05:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 02:00:00-03:00
2018-09-03 06:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 03:00:00-03:00
2018-09-03 07:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 04:00:00-03:00
2018-09-03 08:00:00,0.43180785,0.0026683642,118,Guarulhos,2018-09-03 05:00:00-03:00
2018-09-03 09:00:00,0.6345106,0.0043891277,118,Guarulhos,2018-09-03 06:00:00-03:00
2018-09-03 10:00:00,0.7452663,0.037412092,118,Guarulhos,2018-09-03 07:00:00-03:00
2018-09-03 11:00:00,2.344574,0.2910325,118,Guarulhos,2018-09-03 08:00:00-03:00
2018-09-03 12:00:00,2.695048,0.30337006,118,Guarulhos,2018-09-03 09:00:00-03:00
2018-09-03 13:00:00,2.800492,0.30348155,118,Guarulhos,2018-09-03 10:00:00-03:00
2018-09-03 14:00:00,3.9078681,0.30374342,118,Guarulhos,2018-09-03 11:00:00-03:00
2018-09-03 15:00:00,7.9516287,0.7726041,118,Guarulhos,2018-09-03 12:00:00-03:00
2018-09-03 16:00:00,8.97748,0.94557595,118,Guarulhos,2018-09-03 13:00:00-03:00
2018-09-03 17:00:00,10.208169,1.055198,118,Guarulhos,2018-09-03 14:00:00-03:00
2018-09-03 18:00:00,11.160445,1.2578924,118,Guarulhos,2018-09-03 15:00:00-03:00
2018-09-03 19:00:00,11.875542,1.5442095,118,Guarulhos,2018-09-03 16:00:00-03:00
2018-09-03 20:00:00,12.816688,1.5594767,118,Guarulhos,2018-09-03 17:00:00-03:00
2018-09-03 21:00:00,12.992851,1.5594767,118,Guarulhos,2018-09-03 18:00:00-03:00
2018-09-03 22:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-03 19:00:00-03:00
2018-09-03 23:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-03 20:00:00-03:00
2018-09-04 00:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-03 21:00:00-03:00
2018-09-04 01:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-03 22:00:00-03:00
2018-09-04 02:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-03 23:00:00-03:00
2018-09-04 03:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 00:00:00-03:00
2018-09-04 04:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 01:00:00-03:00
2018-09-04 05:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 02:00:00-03:00
2018-09-04 06:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 03:00:00-03:00
2018-09-04 07:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 04:00:00-03:00
2018-09-04 08:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 05:00:00-03:00
2018-09-04 09:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 06:00:00-03:00
2018-09-04 10:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 07:00:00-03:00
2018-09-04 11:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 08:00:00-03:00
2018-09-04 12:00:00,13.1692095,1.5596808,118,Guarulhos,2018-09-04 09:00:00-03:00
