,MB,ME,RMSE,NMB,NME,R,Om,Mm,Ostd,Mstd,aqs
ws,0.23238774433821474,0.8848203736255229,1.2634766590067306,13.83329287592362,52.67050293810709,0.516093716036329,1.6799163179916319,1.9180876235243731,0.9914091848265735,1.4265418139295083,Cubatão-V.Parisi
o3,17.178088776866765,25.424965299267935,31.758730287706104,41.016027388918026,60.70704876560041,0.6196358697932549,41.881405563689604,57.461998685933146,30.61278827929004,31.186436701993077,Diadema
o3,17.767741529136167,24.314928694289893,31.841559653770574,38.335125929997474,52.461133112838,0.4837165034939674,46.348462664714496,62.77898594387187,25.41356075432524,26.974077509034693,Grajaú-Parelheiros
co,-0.23479454288888885,0.251346787254386,0.37638329039447366,-55.6863617669903,59.612067434812765,0.36592211398756386,0.42163742690058476,0.18931545893314763,0.31576388606845657,0.10008431853541065,Grajaú-Parelheiros
nox,-20.921496970815788,26.038957433032163,38.393852571942,-56.62289371280813,70.47302213506114,0.3752603313618185,36.948830409356724,16.32586894781476,34.57224932264922,16.578450886353423,Grajaú-Parelheiros
o3,19.138669500727794,24.083316735080057,30.672500453156232,38.87259326809367,48.91567702518921,0.500394321559867,49.23435225618632,67.53901971448468,27.504499215480976,16.922961133460923,Guaratinguetá
nox,-10.022096586999563,10.434970742478457,15.373725139102197,-65.34289034135618,68.03478124781911,0.2989522217467882,15.337700145560408,5.252428851719081,12.223838820897702,3.4071935213109734,Guaratinguetá
tc,1.9616058158995813,2.467153594142259,3.0900324708409483,9.202005770589619,11.573559492031087,0.877185312588575,21.31715481171548,23.279304484679667,4.918156845194429,4.6740179088429725,Guaratinguetá
ws,0.7713324710655511,1.3295832059218968,1.6593794971057283,37.50986040111232,64.65756637588171,0.3716647401968499,2.0563458856345886,2.8272899722200555,0.9688757135734499,1.5220622742046548,Guaratinguetá
rh,-12.923759566945606,15.043525098326361,18.532443051393862,-18.073249223732716,21.037638227262974,0.7556960589539332,71.50767085076708,58.56368543523676,19.461723205465294,18.472595593628434,Guaratinguetá
o3,14.993131284173671,22.436971480532215,29.499443717717238,29.81920818077995,44.62394884986073,0.5662895536552023,50.280112044817926,65.37686204303621,28.04614454484512,26.465913306597045,Guarulhos-Pimentas
co,-0.2646588445482516,0.27443637873006993,0.3372463069722188,-59.84537439974701,62.05629689816573,0.15616253190363774,0.44223776223776223,0.1775518836601671,0.20898721892895192,0.06629616022162148,Guarulhos-Pimentas
nox,-9.892037586716311,14.466181649080376,21.252199075843333,-43.75085632769762,63.98154368006064,0.003259360111960357,22.609929078014183,12.749598884669918,15.665992260373015,9.661004987232625,Guarulhos-Pimentas
tc,2.0304445342178745,2.3634561990223464,2.9871584442611328,10.819849710487926,12.594405037807746,0.8875873153801753,18.765921787709495,20.807091096796658,4.703602025708798,4.510847919026186,Guarulhos-Pimentas
ws,1.010621264054394,1.4333331632817294,1.8618688146944402,48.013215367545726,68.09567175145773,0.2444952974599749,2.104881450488145,3.1138532978091926,0.9764352814351869,1.484222829595104,Guarulhos-Pimentas
rh,-9.65355299022346,12.25366740921788,16.27662231117353,-12.623863424835168,16.024009396745388,0.7346901387647293,76.47067039106145,66.76590191364902,17.640718317765025,18.32339492579845,Guarulhos-Pimentas
o3,18.783042213389123,25.458399928870296,31.90489539805355,42.54846855490964,57.66988736572729,0.6278918677195421,44.14504881450488,62.89525743314763,29.88256612596638,29.94128846890089,Guarulhos-Paço Municipal
nox,-12.842283210635035,18.503226668515328,27.55971338819818,-41.418918024789306,59.676586788139744,0.2044486008581619,31.005839416058393,18.392403195054317,23.57580707635818,12.796796473455354,Guarulhos-Paço Municipal
tc,1.6410287921896796,2.0006642649930266,2.6867334419612723,8.421254251359862,10.266792713999429,0.8915070773168702,19.486750348675034,21.12842744568245,4.627698386668931,4.492763777975959,Guarulhos-Paço Municipal
ws,1.2129103887902104,1.5989872062867132,1.913226228879879,65.13676791234792,85.87020072818086,0.3199620267750661,1.8620979020979023,3.0766679250487465,1.0611967064524412,1.4291620044470907,Guarulhos-Paço Municipal
rh,-7.802916415620643,11.063667001394702,14.9375482695071,-10.638115019680173,15.083663060219429,0.7409300009370356,73.3486750348675,65.5276426573816,17.073732284883416,18.211316267061825,Guarulhos-Paço Municipal
o3,8.745335235560404,23.99085595832606,30.913602212685515,17.594650501742468,48.26695769282807,0.6252881029476891,49.704512372634646,56.63397126589137,33.18656987159185,35.6743412294002,Ibirapuera
co,-0.06051874325510198,0.14585328699271136,0.2199298635671238,-18.41874794720497,44.39013082386868,0.24229668775807497,0.3285714285714285,0.2709764059707521,0.2,0.134017702282219,Ibirapuera
nox,1.422078167295325,21.0104278576462,30.986690711134944,4.809877201354893,71.06330739568808,0.2169200564219912,29.56578947368421,31.276005767604456,26.593079149903588,22.624068819169814,Ibirapuera
o3,13.02038907234352,23.28642098879185,29.9867228775196,27.889524811211924,49.87924802575375,0.5950415642345106,46.685589519650655,58.0775139872702,28.604931564672523,31.729962257030692,Interlagos
nox,-8.707529629977312,20.376104148555218,28.18519414956149,-25.914800024380906,60.642074931089596,0.3229670252009977,33.60060514372164,26.092000867332874,25.431624304883897,21.1579943524177,Interlagos
tc,1.837364997907951,2.0708270536959557,2.6429353982636026,10.027635972323713,11.301782650560227,0.8996810934956146,18.323012552301254,20.163010848885794,4.2070621480363215,4.273734249382269,Interlagos
ws,0.14491300039609456,1.1024042695341703,1.4280377573148633,4.931540238454602,37.515964747069155,0.47822167463561005,2.9384937238493727,3.08237287156546,1.3601355365124532,1.4205832963266662,Interlagos
rh,-12.906809043235697,14.566584267782426,18.19856738844126,-15.237234636282807,17.196695294233873,0.7267952161109863,84.70571827057182,71.77065720612813,17.62255199351368,17.09328212000966,Interlagos
o3,16.53552478652111,24.215167157001453,30.870555346127347,36.77534971945614,53.85503346345095,0.5330784228335532,44.96360989810771,60.759711614679674,25.527270339246286,27.96862859774917,Itaim Paulista
nox,-5.656589168976712,16.293947977768557,23.872823875770976,-23.032697718628498,66.34626754816856,0.07013738480444102,24.558951965065503,19.08426877205153,19.495808118079886,13.971251738979982,Itaim Paulista
o3,11.792453079765394,22.42927244222874,28.78593573274657,24.066230775031418,45.77402539230355,0.5879534850480825,49.0,59.3549186189415,29.37443722708953,28.844080772654113,Itaquera
o3,23.213122714701612,29.732603867540032,37.7821228630942,52.146410650055586,66.79189999673011,0.4656637305435175,44.51528384279476,66.80326993593314,33.42721062814694,19.69505972498367,Jacareí
nox,-7.444852154700763,9.359637775714504,15.422703378062053,-53.102234142752906,66.75991226280082,0.18880949519361154,14.019847328244275,6.509500266689415,13.35739850337179,5.701699219346654,Jacareí
tc,1.749737593859649,2.4951466201754386,3.234379887805475,8.958183739917724,12.774476561517597,0.8598880352249725,19.532280701754384,21.8214734408078,5.333326272618889,4.647029920102206,Jacareí
ws,1.4245409264421205,1.702472854283124,2.119449814256857,96.10423826298458,114.85444453528414,0.42708762634911546,1.4822873082287307,2.9050701591350974,0.8818348766866326,1.7289791601930922,Jacareí
rh,-10.336296818688979,13.51264050069735,17.50228533710359,-13.72989888287821,17.949096370743632,0.6997901082452759,75.28312412831241,64.92703110724234,18.6450798474207,17.773015833380253,Jacareí
o3,16.24074719650656,22.26412920815138,26.525121043133794,30.972111159227182,42.45907385631801,0.656855457069336,52.43668122270742,67.91630947771588,27.74180717535361,16.702268221344312,Jaú
nox,-12.10496957192608,12.302692504701534,16.483904702133948,-73.50947050962141,74.71017638579656,0.16797818057394565,16.467224546722456,4.363618537568245,11.33963236873963,2.539471360687415,Jaú
tc,2.1121585467224513,2.451960940027894,3.208046583805172,9.421594497912764,10.937333154990387,0.9053686722561218,22.41827057182706,24.531951423398333,5.689506985875937,5.104714404994098,Jaú
ws,1.3710433412412821,1.865408516917713,2.2858933840942925,50.00702389205413,68.03835113592432,0.525282210002216,2.7417015341701534,4.110201681295265,1.3125219466791413,2.139155206537862,Jaú
rh,-15.553446324965122,16.67869158856346,20.916785441574348,-21.948947045740827,23.536887633837193,0.8066583518032412,70.86192468619247,55.27826192200557,23.191615301930906,21.53683462887165,Jaú
o3,18.09666720232896,25.336844547307134,31.66429291377188,36.492926993072686,51.09314372431607,0.720784181029004,49.58951965065502,66.48019533356546,37.51085838015652,26.912977410727503,Jundiaí
nox,-14.383789010144524,17.06709604118978,23.442222591125066,-50.77503464029374,60.247156857588244,0.2262177716632628,28.32846715328467,13.8805020969805,18.486485299505073,8.473276046507898,Jundiaí
tc,1.5843631025104656,2.043611214086472,2.647025015535449,7.846198729814481,10.12052078642373,0.9120570626773894,20.192747559274757,21.777685465877436,5.173949342418857,4.677880799665529,Jundiaí
ws,0.3510671645788004,1.3739046923249651,1.7018631913752023,11.134882641909229,43.57646927351146,0.3256413076396353,3.1528591352859126,3.500418741229805,0.9618175871294627,1.7110111808081412,Jundiaí
rh,-11.245895253835428,13.290327482566248,16.873951007002365,-15.256966692526017,18.03058619678335,0.8169480618094991,73.70990237099024,62.447767103064066,21.613079906277772,19.413645963613252,Jundiaí
o3,16.100203162886586,25.529524074226806,29.643866491245152,29.303856096371078,46.466090651855744,0.6986078929789654,54.942268041237114,68.8078705724234,34.394898703569865,21.227959913080877,Limeira
nox,-16.698034455881754,17.56687254590219,22.98515323799614,-65.2043871980333,68.59712515074108,0.2783943512396507,25.60875912408759,8.810235673523676,16.352528438240764,6.2494659736557185,Limeira
ws,1.6123771551138268,1.8785824726236033,2.326160714748163,105.79747462073863,123.26475901745783,0.20854747589167424,1.5240223463687148,3.1372306226483286,0.7532556987847417,1.6643741128602296,Limeira
co,-0.3919404691769006,0.4113313190307018,0.5544632202996534,-61.08163156003646,64.10358218660286,-0.028963242082528668,0.6416666666666666,0.2519982091545961,0.36936592417867015,0.12276044857138345,Marg.Tietê-Pte Remédios
nox,-76.99931351876651,82.21653898132158,117.69698611645535,-73.7846433735489,78.78405314179577,-0.09801373907544274,104.3568281938326,27.54274355772423,84.78826821896948,20.124774943151767,Marg.Tietê-Pte Remédios
tc,1.7371326517482544,2.062478988811189,2.763933138290697,8.80798960386912,10.45763170323514,0.883941483572729,19.72223776223776,21.479728190807798,4.415838633798622,4.511635421959627,Marg.Tietê-Pte Remédios
ws,0.8039484409643354,1.2773433599587412,1.6179568401553102,35.2803741047996,56.05477827106732,0.3755609072405964,2.2787412587412588,3.0808322157235377,0.9943656868746567,1.4316352819867948,Marg.Tietê-Pte Remédios
rh,-6.423160420979016,10.599221576223776,14.265710993821045,-9.066350214194058,14.96089907610305,0.7242475761718146,70.84615384615384,64.33680619637883,15.774632905701216,18.08244458252805,Marg.Tietê-Pte Remédios
o3,23.46083616097973,26.40690465320946,32.30288654280158,64.48217190816659,72.57944916059242,0.5046754776172337,36.383445945945944,60.18740710835654,18.447252179619078,26.540748220207004,Mauá
nox,-6.363190731217259,17.03969259349769,23.934628933179486,-24.727326414945214,66.21615767427102,0.21490767423409116,25.733436055469955,19.479434753399723,21.80111010728286,13.37764603167255,Mauá
o3,7.347931043356645,19.977530732867134,25.900484490857945,12.387170669370242,33.67819883997831,0.505342334720715,59.318881118881116,66.68302537047353,28.56809877562584,17.56874373054791,Mogi das Cruzes
o3,13.86527377845723,24.980663543001405,32.37764737384911,32.47360708221923,58.50676052347009,0.5900455900534111,42.69705469845722,56.454532966490255,28.22378877027268,35.123998647190206,Mooca
co,-0.18448256098449617,0.21480809964082687,0.2883776365883379,-41.58110139836925,48.416269400698894,0.2168869805863963,0.44366925064599483,0.27219686535515325,0.21577664080071346,0.12721866765515893,Mooca
ws,1.6820709041785218,1.853010813868898,2.1836271153180364,127.4619359856267,140.41521386007184,0.3097602678189709,1.3196652719665272,3.000205738852368,0.806184821249414,1.4129487656147874,Mooca
o3,28.145917232094966,32.50709171399441,40.14106034753318,80.3816231429939,92.83665456990148,0.6355429562792795,35.01536312849162,63.18480130387186,29.767369167272413,35.97864010518818,N.Senhora do Ó
co,-0.5372747807205239,0.5472539515065502,0.6588514167249319,-69.21203344365271,70.49755572567035,0.12786945003169314,0.7762736535662299,0.2406899186615599,0.37908755835506625,0.11477808497960217,Osasco
nox,-56.74825580375041,60.205619079374394,75.3871419407833,-67.80602236901895,71.9370753553081,0.10581259646658579,83.69205834683954,26.644357083559886,47.51082397327967,19.641430338987604,Osasco
ws,1.0583860347285916,1.3867513528306834,1.7338840768699577,49.21289149808041,64.48123994679636,0.36599259307180076,2.1506276150627617,3.2079762863515318,0.8506095559787561,1.4340571004999723,Osasco
o3,14.47937433773744,25.848262024273748,32.92197839360786,34.82208795452103,62.16362894457881,0.6166186919141151,41.58100558659218,55.97558671562674,30.47296868580157,36.102175507125295,Parque D.Pedro II
co,-0.0525762254972067,0.16708039196648045,0.24380186560408793,-15.783889918658284,50.15914492578616,0.18808341628368028,0.3331005586592179,0.28067302712256265,0.22145582128926808,0.13879264293747182,Parque D.Pedro II
nox,-14.153186054148044,27.799910057639664,39.121546686302615,-30.222729540023856,59.36395944309574,0.21057103554276402,46.82960893854749,32.70957559224234,33.78055906931779,22.664374992700655,Parque D.Pedro II
tc,1.5039641410614522,1.911216715083799,2.6023995845567454,7.682757396745217,9.763141256965106,0.8877960318937679,19.575837988826816,21.07629087047354,4.501202946782255,4.466495083686063,Parque D.Pedro II
ws,1.4570160632648042,1.6788994961206705,2.002256310519036,91.56705883416132,105.511457844501,0.31399043065638776,1.5912011173184357,3.0494267342584958,0.6960373021101813,1.4249067900969639,Parque D.Pedro II
rh,-7.3919812262569735,10.797581522346368,14.605543506100991,-10.107051441775198,14.763526658518886,0.732549128212673,73.13687150837988,65.73716393036212,16.460275834520566,17.823129476249626,Parque D.Pedro II
o3,21.5147007920937,32.59415435578331,38.17027607939096,44.227360845748684,67.00318261851017,0.7607064828756535,48.64568081991215,69.0108498746518,45.98849554529563,24.993704514596676,Paulínia
nox,-13.540699738580487,16.468499625608132,24.059327003677975,-53.994231597140626,65.66898314043313,0.1901900112659602,25.078048780487805,11.453070885483287,19.707810818593227,8.265732276539916,Paulínia
tc,1.282576674614301,1.9384695666199159,2.5497054331359745,5.71762641615606,8.641545585844693,0.915117783205136,22.431977559607294,23.72992669637883,5.4110102734397945,4.635760523376699,Paulínia
ws,1.3238416680200835,1.7654773442271066,2.172392296958597,70.16341131683042,93.57003640685572,0.35900412351802047,1.886797752808989,3.2024351838165734,0.8354453395872055,1.835568699824906,Paulínia
rh,-10.537717862552597,14.321762690042076,18.641164705745467,-15.643776205546764,21.261382522695094,0.7923886621267181,67.36044880785414,56.7333646281337,25.22049852532071,19.716810334310765,Paulínia
o3,15.179475503221084,23.2630725761347,30.026689970658573,30.856816478764248,47.28914125271586,0.6811548700254085,49.19326500732065,63.314517643871866,28.420246206816387,34.92415974998083,Pico do Jaraguá
nox,1.1690576067715952,13.228561411720348,17.820484483302938,5.86590027494123,66.37604646051275,0.2554958298009702,19.929721815519766,21.25701588496518,15.019568206223026,14.10362558430645,Pico do Jaraguá
tc,2.444028800841515,2.7164273590462833,3.2789723959766146,14.588101889446056,16.214014775685836,0.8898856920860708,16.753576437587657,19.252246040389974,4.643651789090181,4.721843071258442,Pico do Jaraguá
ws,2.399831709280112,2.4251846872184877,2.7909653062666777,164.11070208083518,165.84444657350832,0.43379045886681794,1.4623249299719887,3.8500466423760447,0.44930449699349606,1.5672562189512034,Pico do Jaraguá
rh,-10.109014774193554,13.156090760168304,16.974755903851516,-12.017285561372503,15.63955569041982,0.7644890608225413,84.12061711079944,73.78290426740948,20.23727325585447,19.61519549409624,Pico do Jaraguá
o3,23.462916175465686,29.18251976995915,37.8831194630124,68.3255838379568,84.98145269896746,0.6258254222277202,34.33986928104575,57.23432023393454,29.081051225985906,37.16667338888389,Pinheiros
co,-0.3701909736,0.37036132935,0.4438072679308988,-61.6984956,61.726888224999996,0.36611978299169373,0.5999999999999999,0.27511627687743734,0.26337632507041125,0.13994766599275868,Pinheiros
nox,-22.194851982754283,32.37581243803048,47.88591911703278,-42.12536528305557,61.44861548738657,0.2901645105613578,52.687619047619044,31.716380394643455,43.57985496342575,22.857473240071382,Pinheiros
tc,1.1981552857142894,1.8062471966053748,2.524015964302022,6.030825545881063,9.091610966745218,0.8795807781082965,19.867185289957565,21.102732435933145,4.571505956692819,4.469300357337357,Pinheiros
ws,0.9921594561952247,1.3456916559396066,1.691347490962905,48.73861824279012,66.10545460390506,0.3665160003537946,2.0356741573033705,3.0290902799596098,0.8650373164999323,1.422458683924061,Pinheiros
rh,-6.384102121640737,10.952320062234795,14.900651128159394,-8.816924910142209,15.125977269885919,0.7024308125456682,72.4073550212164,66.0623116545961,16.663928650381322,18.042529498154618,Pinheiros
o3,16.973782035139095,26.912204752562225,31.40909329148919,32.010970648332226,50.75390944886238,0.7409724595301548,53.02489019033675,69.17948566016713,38.25674526741221,22.941029622872275,Piracicaba
nox,-9.693163725971866,11.322476508851663,14.393438434358147,-53.328085223793444,62.29194195808358,0.2403268094107273,18.176470588235293,8.475698958873956,10.162629319757727,6.341265525316457,Piracicaba
nox,-44.02137240799162,44.02137240799162,52.363073473532296,-87.79505485675051,87.79505485675051,0.47056024603288127,50.141061452513966,6.116758065938718,30.111001005099205,4.203625583066042,Santa Gertrudes
tc,1.0895227405857746,2.033541849372385,2.672875706659967,4.951120579287616,9.241028685511472,0.910563128684833,22.00557880055788,23.09488667270195,5.852574003359663,4.990076011789364,Santa Gertrudes
ws,2.2169312825781033,2.3762167382587167,2.953536420372583,197.92550486969242,212.14635802907483,0.2119497190993434,1.1200836820083682,3.338050758089833,0.7774499884929275,1.9626720182780402,Santa Gertrudes
rh,-4.614297781032079,10.343116757322177,13.999611639982021,-7.048556625761644,15.799596733989517,0.8401728351684893,65.46443514644352,60.82916866434541,24.326984095081297,21.372976377872057,Santa Gertrudes
o3,18.142136587542986,26.56239276460602,33.86644589508656,44.18889394599923,64.6981545510521,0.6568993554411579,41.05587392550143,58.50959387897632,32.4140806880825,36.082638618147065,Santana
ws,1.6160002729719602,1.7997205060266095,2.1932976075187707,115.134460381959,128.22389498650494,0.19206111060753592,1.4035765379113017,3.0297304500103066,0.6563128083249464,1.4474685510190957,Santana
o3,22.445104594171426,27.5821856681,34.66066350731115,62.21789215293535,76.45789512986832,0.561889281296688,36.075,57.35092038148468,25.75426914607864,33.58237820029085,Santo Amaro
co,-0.160435343389002,0.20865061265173115,0.28374745312802485,-41.85640467800213,54.43541488416579,0.20142140231941832,0.38329938900203664,0.25626255197214487,0.2337932759888212,0.13585856423429823,Santo Amaro
o3,17.200436833918126,24.045778452631577,30.098586271465333,39.89521463004409,55.772507499491354,0.5714370439936522,43.1140350877193,58.852641816573815,23.84893603537199,29.192632786297647,S.André-Capuava
ws,1.2702832735070022,1.4885380122352938,1.8966589753721266,73.43391282357703,86.05101941025016,0.2534282774970749,1.729831932773109,2.9959801068022283,0.7383832266415591,1.3995696509082065,S.André-Capuava
o3,28.550135327510908,31.03468038427948,37.7726271453111,87.72673302620987,95.36105834153325,0.30077602472766884,32.54439592430859,60.5362848091922,22.786574608680244,18.887173421074774,Santos
nox,-28.13864247547162,29.816354474883553,44.14828969344707,-72.01865502067282,76.31262768886448,0.36215927413232474,39.07132459970888,10.92009083038858,36.02411536586323,7.41502766973576,Santos
tc,-0.9467721799163193,1.5872564198047419,2.283334533465126,-4.326935819639738,7.254075271216041,0.6999754467592465,21.880892608089262,20.938498754874654,2.853613858127976,1.588379901904118,Santos
ws,2.9429589284616453,2.97402115141841,3.658946385680462,311.36218853578276,314.6485414736609,0.47238939993385487,0.9451882845188285,3.886948026054317,0.6669742186577949,2.408336028711206,Santos
rh,5.110453764026403,8.465231061056107,11.432899268877915,6.095128874237356,10.096299986223185,0.5101971864989734,83.84488448844884,89.95728870194986,11.578793606917507,8.170768195583813,Santos
